gene_symbol,protein_function,gbm_evidence,subtype_link,druggable,cancer_relevance,verdict,sources
ACSL3,"Long-chain acyl-CoA synthetase 3 — ligates CoA to long-chain fatty acids (preferring monounsaturated species), channelling them into phospholipid and lipid-droplet synthesis; this MUFA channelling confers resistance to ferroptosis.",None found. No study linking ACSL3 specifically to glioblastoma or glioma was identified. The glioma ACSL literature covers other family members — 'Bioinformatics insights into ACSL1 and ACSL5: prognostic and immune roles in low-grade glioma' (https://bmccancer.biomedcentral.com/articles/10.1186/s12885-025-13651-w) — and reviews of lipid metabolism in GBM discuss the pathway without ACSL3-specific GBM data (https://www.nature.com/articles/s41420-025-02390-3).,"None found. No evidence connects ACSL3 to EGFR signalling, EGFRvIII, CDKN2A loss or the classical/astrocytic GBM programme. The assignment is unsupported by literature; if it derives from a lipid-metabolism module in the expression data, that should be stated as hypothesis-generating rather than subtype-validated.","Preclinical tool compounds only, and none selective. Triacsin C is the standard pan-ACSL inhibitor used in this literature (it inhibits ACSL1/3/4 but not ACSL5/6) and is reviewed as a cancer-therapy tool (https://ncbi.nlm.nih.gov/pmc/articles/PMC6696099; https://doi.org/10.3390/cancers16061170). No ACSL3-selective inhibitor and no clinical-stage ACSL3 agent were found. Status: preclinical.",Moderate and growing. ACSL3 confers ferroptosis resistance and is an unfavourable prognostic marker in cholangiocarcinoma (https://www.nature.com/articles/s41698-024-00783-8) and inhibits ferroptosis in gastric cancer via the unfolded protein response (https://www.nature.com/articles/s41419-026-09068-3); ACSL3 versus ACSL4 opposing roles in ferroptosis are reviewed in https://doi.org/10.3390/cancers14235896.,WEAK,"['https://www.nature.com/articles/s41698-024-00783-8', 'https://www.nature.com/articles/s41419-026-09068-3', 'https://doi.org/10.3390/cancers14235896', 'https://ncbi.nlm.nih.gov/pmc/articles/PMC6696099', 'https://doi.org/10.3390/cancers16061170', 'https://bmccancer.biomedcentral.com/articles/10.1186/s12885-025-13651-w', 'https://www.nature.com/articles/s41420-025-02390-3']"
CTU1,"Cytosolic thiouridylase subunit 1 — forms a heterodimer with CTU2 that installs the 2-thio group on wobble uridine 34 (mcm5s2U34) of tRNA-Lys(UUU), tRNA-Glu(UUC) and tRNA-Gln(UUG), tuning translational efficiency and fidelity of specific codons.",None found. No study linking CTU1 to glioblastoma or glioma was identified.,"None found. No evidence connects CTU1 to EGFR signalling, classical GBM, CDKN2A loss or an astrocytic programme. The assignment is entirely unsupported by published literature.","None known. No CTU1 inhibitor, drug or tool compound was found. Status: none known.","Emerging but thin, and mostly via CTU2 or the pathway rather than CTU1 itself. Wobble-uridine tRNA thiolation is described as a vulnerability in refractory melanoma via translational control of HIF1A (https://www.researchgate.net/publication/327876412_Wobble_uridine_tRNA_modification_a_new_vulnerability_of_refractory_melanoma) and is reviewed as a cancer-relevant RNA modification (https://www.tandfonline.com/doi/full/10.1080/15476286.2020.1722449); CTU2 has been proposed as a pan-cancer tumour biomarker (https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1547794/full). CTU1 itself is best characterised in angiogenesis and embryonic development (https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0315854).",NOVEL,"['https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0315854', 'https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1547794/full', 'https://www.tandfonline.com/doi/full/10.1080/15476286.2020.1722449', 'https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTU1', 'https://omim.org/entry/612694']"
POLR1G,"RNA polymerase I subunit G (PAF49/CD3EAP/ASE-1) — a Pol I-specific subunit that, with PAF53/POLR1E, is essential for rDNA transcription and ribosome biogenesis; it stabilises PAF53 and is required for Pol I activity (https://pmc.ncbi.nlm.nih.gov/articles/PMC10365956/).","None found. No study linking POLR1G/CD3EAP to glioblastoma, glioma or any brain tumour was identified.","None found. No evidence connects POLR1G to EGFR signalling, classical GBM, CDKN2A loss or an astrocytic programme. Ribosome-biogenesis capacity generally tracks with proliferation, which if anything is a better fit for the PN proliferative module than for CL. Treat the CL assignment as unsupported.","No POLR1G-specific agent. The Pol I machinery as a whole can be inhibited with the preclinical/early-clinical tool compounds CX-5461 (SL1/Pol I initiation inhibitor) and BMH-21, but these act on the Pol I transcription complex, not on POLR1G selectively, and CX-5461's mechanism has itself been questioned (its radiosensitisation was attributed to DNA-damage-response effects rather than Pol I inhibition: https://www.nature.com/articles/s41598-022-07928-4). Status: none known for POLR1G specifically; pathway-level agents are preclinical/early clinical.","Weak. The main cancer literature is genetic-association work on CD3EAP polymorphisms and lung cancer risk in the GLTSCR1/ATM/PPP1R13L/CD3EAP locus (https://pubmed.ncbi.nlm.nih.gov/30128886/) — association, not driver evidence. A Pol I/Pol III identity shift is described in cancer more broadly (https://www.nature.com/articles/s41467-022-30323-6). No functional oncogenic role for POLR1G is established.",NOVEL,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC10365956/', 'https://www.sciencedirect.com/science/article/pii/S0021925823019798', 'https://atlasgeneticsoncology.org/gene/50105/polr1g-(rna-polymerase-i-subunit-g)', 'https://www.proteinatlas.org/ENSG00000117877-POLR1G/cancer', 'https://pubmed.ncbi.nlm.nih.gov/30128886/', 'https://www.nature.com/articles/s41598-022-07928-4', 'https://www.nature.com/articles/s41467-022-30323-6']"
ITGB5,"Integrin beta-5 subunit that pairs with alpha-V to form the alphaVbeta5 receptor for RGD-containing extracellular-matrix ligands (vitronectin, TGFBI), transducing adhesion signals to FAK/Src.","Direct GBM evidence. Frontiers in Oncology 2019, 'Integrin Beta 5 Is a Prognostic Biomarker and Potential Therapeutic Target in Glioblastoma': elevated ITGB5 'is associated with progressive malignancy in glioma and is specific to the mesenchymal subtype', and on knockdown 'glioma cell migration and invasion were inhibited' with reduced MMP2/MMP9. Independently, Peng et al., Theranostics 2022: 'TGFBI promoted the maintenance of GSCs and GBM malignant growth through integrin alphaVbeta5-Src-Stat3 signaling in vitro and in vivo', with TGFBI supplied by M2-like tumour-associated macrophages. Sources: https://pmc.ncbi.nlm.nih.gov/articles/PMC6764112 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC9169371/","Strongly subtype-consistent. The 2019 Frontiers paper explicitly reports ITGB5 as 'more closely associated with the mesenchymal phenotype' and specific to the mesenchymal subtype. It sits squarely in the adhesion/ECM-invasion axis of MES biology, and the Theranostics 2022 macrophage-TGFBI-alphaVbeta5 axis directly links it to the myeloid-infiltration arm of the MES programme. No mismatch.","Yes. Cilengitide, a cyclic RGD pentapeptide inhibitor of alphaVbeta3 and alphaVbeta5, was developed specifically for glioblastoma and reached phase III (CENTRIC, EORTC 26071-22072). Approval status: NOT approved - the phase III trial did not meet its primary endpoint in newly diagnosed MGMT-methylated GBM, so the compound is clinically de-risked but failed. Tool/preclinical alphaV antagonists remain available. Sources: https://www.sciencedirect.com/science/article/abs/pii/S1470204514703791 ; https://ascopost.com/issues/october-15-2014/centric-trial-shows-no-benefit-of-adding-cilengitide-to-therapy-in-glioblastoma-with-methylated-mgmt-promoter.aspx",Broad. ITGB5 is an independent prognostic marker in intrahepatic cholangiocarcinoma and promotes colorectal cancer progression and metastasis via Wnt signalling.,STRONG,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC6764112', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC9169371/', 'https://www.sciencedirect.com/science/article/abs/pii/S1470204514703791', 'https://ascopost.com/issues/october-15-2014/centric-trial-shows-no-benefit-of-adding-cilengitide-to-therapy-in-glioblastoma-with-methylated-mgmt-promoter.aspx', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC10587877/', 'https://www.nature.com/articles/s41598-025-93081-7']"
ARPC2,"The p34-Arc subunit of the seven-subunit Arp2/3 complex, which nucleates branched actin filaments to drive lamellipodial protrusion and cell motility.","Yes, at protein level in glioma. Liu Z, Yang X, Chen C, et al., Oncology Reports 2013, 'Expression of the Arp2/3 complex in human gliomas and its role in the migration and invasion of glioma cells', assayed the complex with a p34-Arc (ARPC2) antibody and found 'a positive correlation between the expression of Arp2/3 and the malignancy of glioma specimens (r=0.686, P=0.02)', rising from non-tumour brain through WHO grade I-IV. Pharmacological Arp2/3 blockade with CK-666 'markedly inhibited U251 cell migration' and 'significantly impaired Transwell chamber invasion capability'. Caveat: the functional work inhibited the whole complex rather than ARPC2 specifically. Source: https://www.spandidos-publications.com/or/30/5/2127","Subtype-consistent. Branched-actin nucleation is core cytoskeletal/invasion machinery, the defining cell-biological programme of MES GBM. Reinforced by a related Arp2/3 subunit in the same subtype: ARPC1B 'promotes mesenchymal phenotype maintenance and radiotherapy resistance' in glioma stem cells (J Exp Clin Cancer Res 2022), and ARPC5 associates with proliferation, migration and immune infiltrate in gliomas (BMC Cancer 2023). No mismatch.","Yes, tool compound only. CK-666 is a well-characterised small-molecule Arp2/3 complex inhibitor used in the glioma study above; CK-869 is a related tool compound. Approval status: preclinical / research tool only, no clinical programme. Note this targets the complex, not ARPC2 selectively.",Yes. 'ARPC2: A Pan-Cancer Prognostic and Immunological Biomarker That Promotes Hepatocellular Carcinoma Cell Proliferation and Invasion' (Front Cell Dev Biol 2022) reports ARPC2 as a pan-cancer prognostic and immune-correlated biomarker.,STRONG,"['https://www.spandidos-publications.com/or/30/5/2127', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC9207441/', 'https://link.springer.com/article/10.1186/s13046-022-02526-8', 'https://link.springer.com/article/10.1186/s12885-023-11433-w']"
SOCS3,"Suppressor of cytokine signalling 3, a cytokine-inducible negative-feedback inhibitor that binds JAK/gp130 and targets signalling components for proteasomal degradation, shutting down IL-6/JAK/STAT3 signalling.","Yes, substantial - but the direction is tumour-suppressive. Lindemann et al., Acta Neuropathologica 2011: 'SOCS3 promoter methylation is mutually exclusive to EGFR amplification in gliomas and promotes glioma cell invasion through STAT3 and FAK activation' - i.e. LOSS of SOCS3 drives invasion. A 2026 Cell Division paper, 'SOCS3 suppresses glioblastoma growth via JAK-STAT inhibition and mitochondrial unfolded protein response activation', concludes 'SOCS3 exerts dual tumor-suppressive effects in GBM'; SOCS3 overexpression killed cells and knockdown enhanced proliferation. A PLOS One 2014 study found SOCS3 promoter hypermethylation is a FAVORABLE prognosticator in G-CIMP-positive GBM. Sources: https://link.springer.com/article/10.1007/s00401-011-0832-0 ; https://link.springer.com/article/10.1186/s13008-026-00178-0 ; https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0091829","Pathway-adjacent but DIRECTIONALLY MISMATCHED. SOCS3 sits inside the IL-6/JAK-STAT3 and NF-kB inflammatory axis that defines MES GBM, and SOCS1/2/3/4 correlate with immune infiltration in GBM (PMC10399539), so its expression will track with the MES/immune-infiltrated signature. However SOCS3 is the BRAKE on that axis, not the driver: silencing SOCS3 is what unleashes STAT3/FAK-driven invasion. FLAG: if the pipeline nominated SOCS3 as a target to INHIBIT, that is the wrong therapeutic direction - inhibiting SOCS3 would be predicted to increase STAT3 signalling and invasion. It is plausible only as a biomarker or as a restoration/agonism target.","Not directly as an inhibitor target, and inhibition would be counterproductive. SOCS3-mimetic peptides (e.g. KIR-domain-derived peptides) are described in the literature as agonist-direction tools; the tractable node is the pathway it restrains, where JAK inhibitors (ruxolitinib, approved for myelofibrosis) and STAT3 inhibitors are available. Approval status for SOCS3 itself: none known.","Yes. SOCS3 is recurrently silenced by promoter hypermethylation across hepatocellular, lung, head and neck and other carcinomas, with a predominantly tumour-suppressive role; reviewed in 'Emerging roles of suppressor of cytokine signaling 3 in human cancers'.",MODERATE,"['https://link.springer.com/article/10.1007/s00401-011-0832-0', 'https://link.springer.com/article/10.1186/s13008-026-00178-0', 'https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0091829', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC10399539/', 'https://www.sciencedirect.com/science/article/pii/S0753332221010465']"
ACTR3,"Actin-related protein 3 (Arp3), one of the two actin-like subunits that form the nucleation core of the Arp2/3 complex driving branched actin polymerisation at the leading edge.","Yes, indirect but glioma-specific. 'RasGRP3 regulates the migration of glioma cells via interaction with Arp3' (PubMed 25682201) directly implicates Arp3/ACTR3 in glioma cell migration. ACTR3 is also covered by the Oncology Reports 2013 glioma Arp2/3 study showing complex expression correlates with glioma grade and that CK-666 inhibition suppresses glioma migration and invasion. No ACTR3-specific knockdown study in GBM was found. Sources: https://pubmed.ncbi.nlm.nih.gov/25682201/ ; https://www.spandidos-publications.com/or/30/5/2127","Subtype-consistent. Branched actin nucleation is the canonical cytoskeletal/invasion machinery of the MES programme, and ACTR3 has been shown to induce EMT directly in another tumour type ('ACTR3 promotes cell migration and invasion by inducing epithelial mesenchymal transition in pancreatic ductal adenocarcinoma'), which is the closest available analogue of mesenchymal transition. No mismatch.","Yes, tool compound only. CK-666 binds between Arp2 and Arp3 and blocks complex activation; CK-869 is a related Arp3-binding tool compound. Approval status: preclinical / research tool only.","Yes. ACTR3 promotes migration, invasion and EMT in pancreatic ductal adenocarcinoma (PMC8576205).",MODERATE,"['https://pubmed.ncbi.nlm.nih.gov/25682201/', 'https://www.spandidos-publications.com/or/30/5/2127', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC8576205/']"
EAF1,"ELL-associated factor 1, a subunit of the super elongation complex that binds ELL and stimulates RNA polymerase II transcriptional elongation.","None found. Targeted searches for EAF1 in glioma/glioblastoma/brain tumour returned no primary literature on EAF1 itself. The only elongation-factor hit in GBM concerns the PARALOG EAF2 ('EZH2 promotes metabolic reprogramming in glioblastomas through epigenetic repression of EAF2-HIF1alpha signaling', Oncotarget 2016), which is a different gene and should not be credited to EAF1.","None found - and the biology looks like a MISMATCH. EAF1 is a transcription-elongation factor with no reported role in mesenchymal transition, invasion, cytoskeleton/adhesion, Hippo/YAP-TAZ, NF-kB or myeloid infiltration. Its only cancer-genetics signal points the opposite way: 'Conditional Deletion of Eaf1 Induces Murine Prostatic Intraepithelial Neoplasia in Mice' (Am J Pathol 2019) implies a tumour-SUPPRESSIVE role, so inhibiting it would additionally be the wrong therapeutic direction. Its assignment to a MES invasion/adhesion module is not supported by published biology.","None known. No inhibitor, drug or tool compound targeting EAF1 was found. Approval status: none known.",Weak and tumour-suppressive in direction. Eaf1 deletion induces prostatic intraepithelial neoplasia in mice; EAF1 is otherwise known mainly through its delocalisation by the MLL-ELL fusion protein in leukaemia.,WEAK,"['https://pubmed.ncbi.nlm.nih.gov/31229879/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC6593215/', 'https://www.ncbi.nlm.nih.gov/gtr/genes/85403/', 'https://www.oncotarget.com/article/9761/text/']"
WWTR1,"WW-domain-containing transcription regulator 1 (TAZ), a transcriptional co-activator and terminal effector of the Hippo pathway that partners with TEAD family transcription factors to drive proliferation, mechanotransduction and mesenchymal gene expression; it is inactivated by LATS-mediated phosphorylation and cytoplasmic sequestration.","Definitive, and this is the primary reference for TAZ as a mesenchymal driver in glioma. Bhat KPL, Salazar KL, Balasubramaniyan V, Wani K, Heathcock L, Hollingsworth F, James JD, Gumin J, Diefes KL, Kim SH, Turski A, Azodi Y, Yang Y, Doucette T, Colman H, Sulman EP, Lang FF, Rao G, Copray S, Vaillant BD, Aldape KD. 'The transcriptional coactivator TAZ regulates mesenchymal differentiation in malignant glioma.' Genes & Development 2011;25(24):2594-2609 (PMID 22190458). Key findings quoted: 'silencing of TAZ in MES glioma stem cells decreased expression of MES markers, invasion, self-renewal, and tumor formation'; reciprocally, 'overexpression of TAZ in PN GSCs as well as murine neural stem cells induced MES marker expression'; mechanistically 'TAZ is directly recruited to a majority of MES gene promoters in a complex with TEAD2'. The paper further reports that TAZ is epigenetically silenced (promoter methylation) in proneural glioma and de-repressed in mesenchymal glioma. Supporting: 'The Hippo transducer TAZ promotes cell proliferation and tumor formation of glioblastoma cells through EGFR pathway' (Oncotarget 2016). Sources: https://pubmed.ncbi.nlm.nih.gov/22190458/ ; https://genesdev.cshlp.org/content/25/24/2594 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC3248681/","Maximally subtype-consistent - TAZ is a bona fide master regulator of the MES programme, not merely a correlate. It is the Hippo/YAP-TAZ node named explicitly in the MES definition, it is necessary and sufficient for MES marker expression in glioma stem cells (loss-of-function and gain-of-function both demonstrated in Bhat 2011), and it acts through TEAD2 occupancy of MES gene promoters. It also drives invasion and self-renewal. No mismatch whatsoever.","Yes, and this is now the best-validated druggable node on the list. TAZ is targeted indirectly through the TEAD interaction: VT3989, a TEAD palmitoylation-site inhibitor, has completed a first-in-human phase 1/2 trial in solid tumours published in Nature Medicine 2025 ('YAP/TEAD inhibitor VT3989 in solid tumors: a phase 1/2 trial', PMID 41111090), showing antitumour activity and tolerability including in refractory mesothelioma. IK-930 is a second clinical-stage TEAD inhibitor. Verteporfin is a widely used YAP/TAZ-TEAD disrupting tool compound (and is itself an approved photosensitiser for macular degeneration, though not approved for this indication). Approval status: clinical trials (VT3989, IK-930); no TEAD/TAZ inhibitor is approved in oncology. Note: no GBM-specific TEAD-inhibitor trial was found, and CNS penetration is unverified. Sources: https://www.nature.com/articles/s41591-025-04029-3 ; https://pubmed.ncbi.nlm.nih.gov/41111090/","Extensive. WWTR1 is recurrently involved in the WWTR1-CAMTA1 fusion that defines epithelioid haemangioendothelioma, and TAZ hyperactivation drives proliferation, EMT, stemness and drug resistance across breast, lung, colorectal and other carcinomas (reviewed in 'Regulation of TAZ in cancer', Protein & Cell 2016).",STRONG,"['https://pubmed.ncbi.nlm.nih.gov/22190458/', 'https://genesdev.cshlp.org/content/25/24/2594', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC3248681/', 'https://www.oncotarget.com/article/9199/text/', 'https://www.nature.com/articles/s41591-025-04029-3', 'https://pubmed.ncbi.nlm.nih.gov/41111090/', 'https://academic.oup.com/proteincell/article/7/8/548/6794480']"
FOSL1,"FOS-like antigen 1 (Fra-1), an AP-1 family basic-leucine-zipper transcription factor that dimerises with JUN proteins to regulate genes controlling proliferation, motility and mesenchymal identity; it also acts as a pioneer factor opening chromatin at target loci.","Definitive, and directly ties FOSL1 to the NF1-loss axis that defines MES GBM. Marques C, Unterkircher T, Kroon P, Oldrini B, Izzo A, Dramaretska Y, Ferrarese R, Kling E, Schnell O, Nelander S, Wagner EF, Bakiri L, Gargiulo G, Carro MS, Squatrito M. 'NF1 regulates mesenchymal glioblastoma plasticity and aggressiveness through the AP-1 transcription factor FOSL1.' eLife 2021;10:e64846 (PMID 34399888). Key findings quoted: 'Neurofibromatosis type 1 gene (NF1) signaling is causally linked to the acquisition of a mesenchymal gene expression program in gliomas through the regulation of the AP-1 transcription factor FOSL1'; and 'FOSL1 controls GBM plasticity and aggressiveness in response to NF1 alterations'. Depleting FOSL1 in NF1-mutant cells caused 'loss of the mesenchymal gene signature and reduction in stem cell properties and in vivo tumorigenic potential'. The study shows FOSL1 acts as a pioneer factor increasing chromatin accessibility at mesenchymal genes while repressing proneural genes. The work was highlighted by CNIO as identifying 'a master regulator gene for brain cancer with the worst prognosis'. Sources: https://elifesciences.org/articles/64846 ; https://pubmed.ncbi.nlm.nih.gov/34399888/ ; https://www.cnio.es/en/news/a-master-regulator-gene-for-brain-cancer-with-the-worst-prognosis/","Maximally subtype-consistent. FOSL1 is the transcriptional effector immediately downstream of NF1 loss - the exact genetic lesion used to define the MES subtype in this project's own subtype description - and it is required for the mesenchymal signature, stem-cell properties and tumorigenicity. AP-1 is also the canonical partner of the NF-kB inflammatory programme in MES GBM. No mismatch.","Partially, and historically hard. Fra-1/AP-1 is reviewed as a formerly 'undruggable' transcription factor now being approached therapeutically ('The Fra-1/AP-1 Oncoprotein: From the ""Undruggable"" Transcription Factor to Therapeutic Targeting', PMID 35326630). Named agents: T-5224, a selective c-Fos/AP-1 DNA-binding inhibitor (tested clinically in rheumatoid arthritis, preclinical in oncology), and a published PROTAC probe series targeting FOSL1 for degradation in head and neck squamous cell carcinoma stem cells (Bioorg Chem 2024, preclinical). Approval status: none approved; T-5224 has non-oncology clinical exposure, FOSL1 PROTACs are preclinical. Indirect approaches target the upstream MEK/ERK cascade that stabilises Fra-1.","Extensive. Fra-1/FOSL1 overexpression drives EMT, invasion and metastasis in breast, colorectal, lung and head-and-neck cancers and is broadly associated with poor prognosis.",STRONG,"['https://elifesciences.org/articles/64846', 'https://pubmed.ncbi.nlm.nih.gov/34399888/', 'https://www.cnio.es/en/news/a-master-regulator-gene-for-brain-cancer-with-the-worst-prognosis/', 'https://www.biorxiv.org/content/10.1101/834531v2.full', 'https://pubmed.ncbi.nlm.nih.gov/35326630/', 'https://www.sciencedirect.com/science/article/abs/pii/S0045206824005182', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC10361657/']"
TLN1,"Talin-1, a large cytoskeletal adaptor that binds integrin beta cytoplasmic tails to trigger integrin inside-out activation and physically links activated integrins to F-actin at focal adhesions, transmitting and sensing mechanical force.","Yes, direct and functional. Kang W, Kim SH, Cho HJ, Jin J, Lee J, Joo KM, Nam DH. 'Talin1 targeting potentiates anti-angiogenic therapy by attenuating invasion and stem-like features of glioblastoma multiforme.' Oncotarget 2015. TLN1 knockdown 'significantly decreased the levels of the phosphorylated of FAK (Y397)' and cut invasive capacity by roughly 90%, lowered stem markers (CD133, cMyc, Nanog, Oct4) and mesenchymal regulators vimentin and ZEB1, and combined TLN1 knockdown plus bevacizumab extended median survival to 92 days versus 33 days in controls. Additional glioma evidence: 'Oncogenic role of talin-1 in glioma: Association with poor prognosis and regulation of the TGF-beta signaling pathway' (Transl Oncol), and 'Tanshinone IIA Suppresses Glioma Cell Proliferation, Migration and Invasion ... Partially Through miR-16-5p/Talin-1 (TLN1) Axis' (PMID 33192091). Sources: https://pmc.ncbi.nlm.nih.gov/articles/PMC4694986 ; https://pubmed.ncbi.nlm.nih.gov/26336988/ ; https://www.sciencedirect.com/science/article/pii/S1936523326000288","Strongly subtype-consistent. TLN1 is the central integrin-activating adhesion adaptor, i.e. the cytoskeleton/adhesion arm of MES biology, and the GBM knockdown data explicitly show loss of the MESENCHYMAL regulators vimentin and ZEB1 alongside reduced invasion and stemness. The glioma TGF-beta link is a further mesenchymal-transition connection. It also functions immediately downstream of ITGB5, another gene on this MES list, giving internal pathway coherence. No mismatch.","Poorly. No approved or clinical-stage direct talin-1 inhibitor was found. The GBM work used genetic knockdown, not a compound. Indirect/tool approaches: FAK inhibitors act on the immediately downstream node (defactinib and others are in clinical trials), and tanshinone IIA has been reported to act via a miR-16-5p/TLN1 axis in glioma but is a natural product with wide polypharmacology and is not a validated TLN1 inhibitor. Approval status for direct TLN1 targeting: none known; preclinical at best.","Yes. TLN1 is described as an oncogene associated with tumorigenesis and progression across tumour types (Discover Oncology 2024) and is a prognostic biomarker in acute myeloid leukaemia (PMID 36175877), although in hepatocellular carcinoma talin-1 DOWNregulation promoted progression, so its direction is context-dependent.",STRONG,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC4694986', 'https://pubmed.ncbi.nlm.nih.gov/26336988/', 'https://www.sciencedirect.com/science/article/pii/S1936523326000288', 'https://pubmed.ncbi.nlm.nih.gov/33192091/', 'https://link.springer.com/article/10.1007/s12672-024-01593-x', 'https://pubmed.ncbi.nlm.nih.gov/36175877/', 'https://onlinelibrary.wiley.com/doi/10.1111/cas.13247']"
RHOA,"Ras-homolog family member A, a small GTPase that cycles between GDP- and GTP-bound states to control actomyosin contractility, stress-fibre and focal-adhesion assembly, and cell migration, principally via ROCK1/2 and mDia effectors.","Yes, direct. 'RhoA regulates invasion of glioma cells via the c-Jun NH2-terminal kinase pathway under hypoxia' (PMC3673639) demonstrates RhoA-dependent glioma invasion. 'RHPN2 drives mesenchymal transformation in malignant glioma by triggering RhoA activation' (Danussi et al., PMID 23774217) shows RhoA activation as the mechanistic step downstream of an amplified glioma driver. Also 'RhoA regulates translation of the Nogo-A decoy SPARC in white matter-invading glioblastomas' (Acta Neuropathol 2019). Rho GTPase signalling in glioma invasion is reviewed in PMC3790103. Sources: https://ncbi.nlm.nih.gov/pmc/articles/PMC3673639 ; https://pubmed.ncbi.nlm.nih.gov/23774217/ ; https://link.springer.com/article/10.1007/s00401-019-02021-z","Strongly subtype-consistent, with an explicit mesenchymal-transformation paper. The RHPN2 study is titled around RhoA activation driving MESENCHYMAL TRANSFORMATION in malignant glioma, which is precisely the MES programme; RhoA additionally governs actomyosin contractility, adhesion turnover and amoeboid/invasive migration. No mismatch. Caveat: RHOA is a hub GTPase with essential functions in normal cells, so it is subtype-relevant but not subtype-specific.","Partially, and mostly indirectly. Direct: Rhosin is a published small-molecule RhoA inhibitor and C3 transferase (exoenzyme C3) is the standard bacterial-toxin tool inhibitor - both preclinical/research tools only. Indirect and much more advanced: ROCK inhibitors targeting RhoA's principal effector, including fasudil (approved in Japan for cerebral vasospasm; tested in a randomised phase IIa trial in ALS, ROCK-ALS) and ripasudil/netarsudil (approved ophthalmics). Approval status: no direct RhoA inhibitor approved or in oncology trials; ROCK inhibitors approved in non-oncology indications.","Extensive but directionally complex. RHOA is a recurrently mutated cancer gene, with activating-type hotspot mutations in diffuse gastric cancer and distinct hotspot mutations in angioimmunoblastic T-cell lymphoma and Burkitt lymphoma; it is a well-established driver of invasion and metastasis, though some RHOA mutations behave as loss-of-function.",STRONG,"['https://ncbi.nlm.nih.gov/pmc/articles/PMC3673639', 'https://pubmed.ncbi.nlm.nih.gov/23774217/', 'https://link.springer.com/article/10.1007/s00401-019-02021-z', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC3790103/', 'https://pubmed.ncbi.nlm.nih.gov/30972018/', 'https://en.wikipedia.org/wiki/Rho_kinase_inhibitor']"
CYFIP1,"Cytoplasmic FMR1-interacting protein 1 (Sra-1/p140), a subunit of the pentameric WAVE regulatory complex that transmits Rac1 signals to activate Arp2/3-dependent lamellipodial actin polymerisation; it separately binds FMRP and eIF4E to repress translation of specific mRNAs in neurons.",None found. Targeted searches for CYFIP1 in glioma/glioblastoma returned no primary functional or prognostic study of this gene in glioma. The only hits were multi-gene bioinformatic signatures in other tumours (e.g. a disulfidptosis panel in neuroblastoma) and unrelated glioma papers. Reported honestly as no GBM evidence.,"Ambiguous, with a genuine MISMATCH RISK that should be flagged. On one hand CYFIP1 is a core WAVE-complex subunit feeding Rac1 signals into Arp2/3-driven protrusion, which is MES cytoskeletal biology and is consistent with the other actin genes on this list (ARPC2, ACTR3). On the other hand the principal cancer paper on this gene is Silva et al., 'Cyfip1 is a putative invasion suppressor in epithelial cancers' (Cell 2009, PMID 19524508), where CYFIP1 LOSS promotes invasion - the opposite direction. So depending on which arm dominates in glioma, inhibiting CYFIP1 could plausibly increase rather than decrease invasion. No glioma data exist to resolve this. Treat as unresolved and directionally unsafe.","None known. No inhibitor, drug or tool compound selectively targeting CYFIP1 was found. Approval status: none known. The WAVE complex is generally considered undruggable at present, and Arp2/3-level tool compounds (CK-666) act downstream rather than on CYFIP1.",Limited and tumour-suppressive in direction. The main cancer report is CYFIP1 as a putative invasion suppressor in epithelial cancers (Cell 2009). CYFIP1 is better known for the neurodevelopmental 15q11.2 BP1-BP2 copy-number syndrome and its roles in autism and schizophrenia than for oncology.,WEAK,"['https://pubmed.ncbi.nlm.nih.gov/19524508/', 'https://www.genecards.org/card/CYFIP1', 'https://pubmed.ncbi.nlm.nih.gov/28183735/', 'https://www.nature.com/articles/nrm2732', 'https://www.sciencedirect.com/science/article/pii/S2211124719301299']"
